Key,English,French,German,Spanish
savedbook,Saved Book,Livres,Buchen,Libros
entersearchterm,Enter Search Term,Terme Recherché,Suchbegriff,Término de Búsqueda
search,Search,Recherche,Suche,Búsqueda
searchsorttitle,Search & Sort by Title,Tri par Titres,Nach Titel Sortieren,Ordenar por Títulos
searchsortrelease,search & sort by release date,tri par date ajout,Veröffentlichungsdatum,ordinar por fecha
browsepopularity,Browse by popularity,tri par popularité,nach Beliebtheit,navigar por popularidad
browsetitle,Browse by title,prcourir par titres,nach Titel durchsuchen,navigar por títulos
browseauthor,Browse by author,parcourir par auteur,nach Autoren,navigar por autores
browserelease,Browse by release date,parcourir par date ajout,nach Veröffentlichungsdatum,navigar por fecha
about,About,A propos,Über,Sobre..
previous,Previous,Précédent,Vorher,Previo
next,Next,Suivant,Nächste,Siguiente
home,Home,Accueil,Startseite,Inicio
back,Back,Retour,Zurück,Atrás
listen,Listen,écouter,Hören,Escuchar
sharehtmlfile,Share HTML file,Partager fichier HTML,HTML-Datei teilen,Compartir archivo HTML
openinchrome,Open in Chrome,Ouvrir dans Chrome,In Chrome öffnen,Abrir en Chrome
delete,Delete,Effacer,Löschen,Borrar
play,Play,Lecture,Wiedergabe,Reproducir
pause,Pause,Pause,Pause,Pausar
resume,Resume,Continuer,Fortsetzen,reanudar
beginning,Beginning,Début,Start,Iniciar
progress,Progress,Progression,Fortschritt,Progreso
rate,Rate,Vitesse,Geschwindigkeit,Velocidad
slower,Slower,Plus lent,Langsamer,Más lento
faster,Faster,Plus rapide,Schneller,Más rápido
setsleeptimer,Set Sleep Timer,Mise en Veille,Timer einstellen,Temporizador
changevoice,Change Voice,Changer de voix,Stimme ändern,Cambiar voz
changeengine,Change Engine,Changer de moteur,Sprach-Engine ändern,Cambiar motor
pitch,Pitch,Hauteur de ton,Tonhöhe,Tono
lower,Lower,Plus grave,Tiefer,Más grave
higher,Higher ,Plus aigu,Höher,Más agudou
minutes,minutes,minutes,minuten,minutos
sleepin,Sleep in,S'endormir,Einschlafen,Dormirse en
chapter,Chapter,Chapitre,Kapitel,Capitulo
